target_library,package_name,candidate_name,primary_category,component_kind,repo_count,file_count,priority,rationale,evidence_repos
shared-logic,@platphorm/logic,handler,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-fingerprint-service, mbarbine__platphorm-monitor"
shared-logic,@platphorm/logic,executor,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-insights, mbarbine__platphorm-webhook-simulator"
shared-logic,@platphorm/logic,platphorm,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-insights, mbarbine__platphorm-trace"
shared-logic,@platphorm/logic,github,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-jules, mbarbine__platphorm-mcp"
shared-logic,@platphorm/logic,mcp-register,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-kanban, mbarbine__platphorm-reader"
shared-logic,@platphorm/logic,audit,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-keys, mbarbine__platphorm-register"
shared-logic,@platphorm/logic,producthunt,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-mcp, mbarbine__platphorm-webhook-simulator"
shared-logic,@platphorm/logic,categories,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-mcp, mbarbine__platphorm-podcasts"
shared-logic,@platphorm/logic,validate,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-openclaw, mbarbine__platphorm-podcasts"
shared-logic,@platphorm/logic,crypto,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-openclaw, mbarbine__platphorm-vercel-atlas"
shared-logic,@platphorm/logic,claws-sdk,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,polymarket-api,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-polymarket-rss-feed, mbarbine__platphorm-shipments"
shared-logic,@platphorm/logic,hn,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-quake, mbarbine__platphormnews-www-prod"
shared-logic,@platphorm/logic,flags,logic,business-logic,2,3,medium,business-logic classified as logic with reuse potential across 2 repositories and 3 files.,"mbarbine__platphorm-reader, mbarbine__vanagain-dot-com-prod"
shared-automation,@platphorm/automation,monitor-mtips-environment,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-automation,@platphorm/automation,headers,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-automation,@platphorm/automation,add-piv-key,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-automation,@platphorm/automation,create-options,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-automation,@platphorm/automation,converge-nacls,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-process,@platphorm/process,history,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-logic,@platphorm/logic,bs-lessdoc-parser,logic,parser,2,2,medium,parser classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-automation,@platphorm/automation,my-get,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-process,@platphorm/process,mit-license,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-logic,@platphorm/logic,access,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-logic,@platphorm/logic,init,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-logic,@platphorm/logic,ready,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-logic,@platphorm/logic,parse-html,logic,parser,2,2,medium,parser classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-automation,@platphorm/automation,yearistype,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__xsociety"
shared-logic,@platphorm/logic,auth-store,logic,state-store,2,2,medium,state-store classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__vanagain-dot-com-prod"
shared-logic,@platphorm/logic,layout,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__platphorm-layout"
shared-automation,@platphorm/automation,setup,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__car-service-records"
shared-automation,@platphorm/automation,datepicker,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__Scripts, mbarbine__vanagain-site"
shared-ai,@platphorm/ai,chat-interface,ai,feature-ui,2,2,medium,feature-ui classified as ai with reuse potential across 2 repositories and 2 files.,"mbarbine__ai-chat-interface-webby, mbarbine__platphorm-bbs"
shared-logic,@platphorm/logic,es,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__autographed-bibles-webby, mbarbine__platphorm-trace"
shared-automation,@platphorm/automation,page,automation,page,2,2,medium,page classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__automotive-flamethrower-webby, mbarbine__legacy-platphorm-news"
shared-automation,@platphorm/automation,create-tree,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__aws-next-k8-cluster-deploy, mbarbine__xsociety"
shared-automation,@platphorm/automation,seed-complete-database,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__burrito-dealer-www, mbarbine__platphorm-real-estate-NAD"
shared-automation,@platphorm/automation,pre-commit-check,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__calendar-app-webby, mbarbine__platphorm-svg-factory"
shared-process,@platphorm/process,onboard,process,onboarding,2,2,medium,onboarding classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__calendar-app-webby, mbarbine__platphorm-kanban"
shared-logic,@platphorm/logic,ics,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__calendar-app-webby, mbarbine__platphorm-jobs"
shared-logic,@platphorm/logic,persistence,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__calendar-app-webby, mbarbine__platphorm-spec-workbench"
shared-process,@platphorm/process,final-summary,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__desert-bus, mbarbine__n8n"
shared-process,@platphorm/process,design,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__desert-bus, mbarbine__platphorm-bbs"
shared-process,@platphorm/process,readme1,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__docker-terraform-aws-demo, mbarbine__mermaid-next-www"
shared-logic,@platphorm/logic,wildduck-api,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__doflo-clone, mbarbine__process-clone"
shared-logic,@platphorm/logic,tracking,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__doflo-clone, mbarbine__process-clone"
shared-logic,@platphorm/logic,process-co-api,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__doflo-clone, mbarbine__process-clone"
shared-ai,@platphorm/ai,chat-widget,ai,feature-ui,2,2,medium,feature-ui classified as ai with reuse potential across 2 repositories and 2 files.,"mbarbine__fashion-sadiepass-WWW, mbarbine__vanagain-dot-com-prod"
shared-logic,@platphorm/logic,generator,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__fortune-cookie-webby-yj, mbarbine__job-manager"
shared-logic,@platphorm/logic,pcap-ng-parser-d,logic,parser,2,2,medium,parser classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,ja4-vercel,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, mbarbine__threatrelay-webby"
shared-logic,@platphorm/logic,webhookdata,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-logic,@platphorm/logic,validate-env,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,sentry-setup,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-ai,@platphorm/ai,openai-prompt,ai,prompt-template,2,2,medium,prompt-template classified as ai with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,index,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,ja4-algorithm,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,advanced-labs-overview,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,advaced-labs,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-process,@platphorm/process,capturing-traffic-ja4-h,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__foxio-labs, ph3ar__ph3ar-docs-enhanced-labs"
shared-logic,@platphorm/logic,ascii,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__hot-chocolate-for-profit-webby, mbarbine__platphorm-bbs"
shared-logic,@platphorm/logic,proxy,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__hot-chocolate-for-profit-webby, mbarbine__platphorm-mcp"
shared-automation,@platphorm/automation,localhost-proxy-entrypoint,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__ja4-sidecar, mbarbine__wildduck"
shared-process,@platphorm/process,contributors,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__ja4mlab, mbarbine__platphorm-desa"
shared-process,@platphorm/process,implementation-plan,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__ja4mlab, mbarbine__platphorm-polymarket-rss-feed"
shared-automation,@platphorm/automation,verify,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__ja4mlab, mbarbine__platphorm-sandbox"
shared-automation,@platphorm/automation,compose,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__legacy-platphorm-news, mbarbine__platphormnews-www-prod"
shared-automation,@platphorm/automation,migrate,automation,script,2,2,medium,script classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__legacy-platphorm-news, mbarbine__platphormnews-www-prod"
shared-logic,@platphorm/logic,date-utils,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__legacy-platphorm-news, mbarbine__news-api"
shared-logic,@platphorm/logic,middleware,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__mailthing-main, ph3ar__stripe-subscription-starter"
shared-logic,@platphorm/logic,queries,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__mailthing-main, ph3ar__stripe-subscription-starter"
shared-logic,@platphorm/logic,admin,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__mailthing-main, ph3ar__stripe-subscription-starter"
shared-logic,@platphorm/logic,settings,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__mailthing-main, ph3ar__stripe-subscription-starter"
shared-automation,@platphorm/automation,instrumentation,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__mermaid-next-www, mbarbine__my-first-nova-hbackers-preseo"
shared-automation,@platphorm/automation,svelte-config,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__news-api, mbarbine__platphormnews-www-prod"
shared-ai,@platphorm/ai,toolbar,ai,feature-ui,2,2,medium,feature-ui classified as ai with reuse potential across 2 repositories and 2 files.,"mbarbine__nextjs-ai-4, mbarbine__ph3ar-chatbot"
shared-ai,@platphorm/ai,block-messages,ai,feature-ui,2,2,medium,feature-ui classified as ai with reuse potential across 2 repositories and 2 files.,"mbarbine__nextjs-ai-4, mbarbine__nextjs-ai-chatbot"
shared-logic,@platphorm/logic,update-document,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__nextjs-ai-4, mbarbine__ph3ar-chatbot"
shared-logic,@platphorm/logic,create-document,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__nextjs-ai-4, mbarbine__ph3ar-chatbot"
shared-logic,@platphorm/logic,ja4,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__nuclear-power-plant-webby-NPaaS, mbarbine__platphorm-fingerprint-service"
shared-process,@platphorm/process,commit-msg,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__onboard-platphorm-boilerplate-repo, mbarbine__platphorm-jules"
shared-process,@platphorm/process,new-internet-v1-full-spec,process,specification,2,2,medium,specification classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__onboard-platphorm-boilerplate-repo, mbarbine__platphorm-onboard"
shared-process,@platphorm/process,minimum-discoverability-matrix,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__onboard-platphorm-boilerplate-repo, mbarbine__platphorm-onboard"
shared-ai,@platphorm/ai,user,ai,ai-integration,2,2,medium,ai-integration classified as ai with reuse potential across 2 repositories and 2 files.,"mbarbine__ph3ar-web, ph3ar__js_mongo_app_boilerplate"
shared-process,@platphorm/process,implementation-summary,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-agentui, mbarbine__platphorm-bbs"
shared-process,@platphorm/process,build-summary,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-agentui, mbarbine__platphorm-keys"
shared-process,@platphorm/process,features,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-agentui, mbarbine__platphorm-polymarket-rss-feed"
shared-logic,@platphorm/logic,password,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-agentui, mbarbine__platphorm-bbs"
shared-logic,@platphorm/logic,web-vitals,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-agentui, mbarbine__platphorm-insights"
shared-logic,@platphorm/logic,test-helpers,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-ai-photo-enrichment, mbarbine__vanagain-dot-com-prod"
shared-logic,@platphorm/logic,blob-storage,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-ai-photo-enrichment, mbarbine__platphorm-stannp-api-wrapper"
shared-logic,@platphorm/logic,transcription,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-alleycats, mbarbine__platphorm-zine-reader"
shared-logic,@platphorm/logic,use-gestures,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-alleycats, mbarbine__platphorm-zine-reader"
shared-logic,@platphorm/logic,ascii-utils,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-alleycats, mbarbine__platphorm-zine-reader"
shared-logic,@platphorm/logic,mock-data,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-auction-vice, mbarbine__platphorm-real-estate"
shared-logic,@platphorm/logic,claws,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-auction-vice, mbarbine__platphorm-browserops"
shared-process,@platphorm/process,fixes-applied,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-bbs, mbarbine__starphone-web-svelte"
shared-logic,@platphorm/logic,services,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-bbs, mbarbine__platphorm-evals"
shared-logic,@platphorm/logic,request,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-bbs, mbarbine__platphorm-insights"
shared-logic,@platphorm/logic,spec,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-browserops, mbarbine__platphorm-trace"
shared-logic,@platphorm/logic,engine,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-desa, mbarbine__platphorm-insights"
shared-process,@platphorm/process,commit-message,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-emoji, mbarbine__platphorm-evals"
shared-logic,@platphorm/logic,build-validation,logic,schema-validation,2,2,medium,schema-validation classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-evals, mbarbine__platphorm-opencontent"
shared-logic,@platphorm/logic,with-auth,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-evals, mbarbine__vanagain-dot-com-prod"
shared-logic,@platphorm/logic,api-utils,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-json, mbarbine__platphorm-mini-games-webby"
shared-logic,@platphorm/logic,local-drafts,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-json, mbarbine__platphorm-xml"
shared-process,@platphorm/process,pr-body,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-jules, mbarbine__platphorm-trace"
shared-logic,@platphorm/logic,platform-trace,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-jules, mbarbine__platphorm-svg-factory"
shared-logic,@platphorm/logic,platform-auth,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-jules, mbarbine__platphorm-trace"
shared-logic,@platphorm/logic,integrations,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-layout, mbarbine__platphorm-onboard"
shared-logic,@platphorm/logic,search,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-mcp, mbarbine__platphorm-openclaw"
shared-logic,@platphorm/logic,orchestrator,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-mcp, mbarbine__platphorm-onboard"
shared-logic,@platphorm/logic,shared,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-mcp, mbarbine__platphorm-opencontent"
shared-automation,@platphorm/automation,route,automation,scheduled-job,2,2,medium,scheduled-job classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-monitor, mbarbine__platphorm-space-news"
shared-process,@platphorm/process,enhancement-plan,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-openclaw, mbarbine__platphorm-podcasts"
shared-logic,@platphorm/logic,observability,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-openclaw, mbarbine__platphorm-spec-workbench"
shared-process,@platphorm/process,pr-desc,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,openapi-starter-bundle,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,mcp-network,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-process,@platphorm/process,route,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-process,@platphorm/process,workflow,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-automation,@platphorm/automation,route,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-process,@platphorm/process,ingest,process,specification,2,2,medium,specification classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,tagging,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,ssrf-test,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,cache-strategy,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,query-builder,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__platphorm-opendocs"
shared-logic,@platphorm/logic,spotify,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-opencontent, mbarbine__reflux-site-webby"
shared-process,@platphorm/process,final-suite-v1,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-polymarket-rss-feed, mbarbine__platphorm-trace"
shared-logic,@platphorm/logic,api-client,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-real-estate-NAD, ph3ar__mailthing-webby"
shared-logic,@platphorm/logic,api-response,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-register, mbarbine__platphorm-xml"
shared-logic,@platphorm/logic,request-context,logic,business-logic,2,2,medium,business-logic classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__platphorm-webhook-simulator, mbarbine__vanagain-dot-com-prod"
shared-logic,@platphorm/logic,pdf-utils,logic,utility,2,2,medium,utility classified as logic with reuse potential across 2 repositories and 2 files.,"mbarbine__stannp-nextjs-bp, ph3ar__mailthing-webby"
shared-process,@platphorm/process,ja4-x,process,process-document,2,2,medium,process-document classified as process with reuse potential across 2 repositories and 2 files.,"mbarbine__threatrelay-webby, ph3ar__ph3ar-docs-enhanced-labs"
shared-automation,@platphorm/automation,jquery-flot-categories,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__vanagain-site, mbarbine__xsociety"
shared-automation,@platphorm/automation,jquery-flot-resize,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__vanagain-site, mbarbine__xsociety"
shared-automation,@platphorm/automation,jquery-flot-symbol,automation,automation-config,2,2,medium,automation-config classified as automation with reuse potential across 2 repositories and 2 files.,"mbarbine__vanagain-site, mbarbine__xsociety"
shared-logic,@platphorm/logic,declared-vs-actual,logic,schema-validation,1,10,medium,schema-validation classified as logic with reuse potential across 1 repositories and 10 files.,mbarbine__ja4mlab
shared-automation,@platphorm/automation,conf,automation,automation-config,1,9,medium,automation-config classified as automation with reuse potential across 1 repositories and 9 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,en-dlg,automation,automation-config,1,8,medium,automation-config classified as automation with reuse potential across 1 repositories and 8 files.,mbarbine__Scripts
shared-process,@platphorm/process,numbers,process,process-document,1,7,medium,process-document classified as process with reuse potential across 1 repositories and 7 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,runalltestcases,automation,script,1,6,medium,script classified as automation with reuse potential across 1 repositories and 6 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,file,automation,automation-config,1,6,medium,automation-config classified as automation with reuse potential across 1 repositories and 6 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,install,automation,automation-config,1,6,medium,automation-config classified as automation with reuse potential across 1 repositories and 6 files.,mbarbine__Scripts
shared-ai,@platphorm/ai,contents,ai,agent,1,5,medium,agent classified as ai with reuse potential across 1 repositories and 5 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,dagah-gui-installer,automation,script,1,5,medium,script classified as automation with reuse potential across 1 repositories and 5 files.,mbarbine__Scripts
shared-ai,@platphorm/ai,facts,ai,agent,1,5,medium,agent classified as ai with reuse potential across 1 repositories and 5 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,route-client-reference-manifest,automation,scheduled-job,1,5,medium,scheduled-job classified as automation with reuse potential across 1 repositories and 5 files.,mbarbine__platphorm-podcasts
shared-automation,@platphorm/automation,middleware-manifest,automation,scheduled-job,1,5,medium,scheduled-job classified as automation with reuse potential across 1 repositories and 5 files.,mbarbine__platphorm-podcasts
